Motivo,Fonte,Validação,Páginas
Erro no servidor (5xx),Site,Falha,4
Não encontrado (404),Site,Não foi iniciado,4
Bloqueada devido a acesso proibido (403),Site,Não foi iniciado,3
"Excluída pela tag ""noindex""",Site,Não foi iniciado,2
Bloqueada pelo robots.txt,Site,Não foi iniciado,1
Página alternativa com tag canônica adequada,Site,Iniciado,22
Página com redirecionamento,Site,Iniciado,14
Cópia sem página canônica selecionada pelo usuário,Site,Iniciado,7
"Rastreada, mas não indexada no momento",Sistemas do Google,Iniciado,10
"Detectada, mas não indexada no momento",Sistemas do Google,Iniciado,7
